,City,State,Median Age,Male Population,Female Population,Total Population,Number of Veterans,Foreign-born,Average Household Size,State Code,Race,Count
2355,Paradise,Nevada,37.2,122784.0,114162.0,236946,14112.0,66712.0,2.65,NV,American Indian and Alaska Native,4314
2356,Cape Coral,Florida,45.0,85626.0,89604.0,175230,14446.0,24185.0,2.85,FL,American Indian and Alaska Native,1040
2357,Indianapolis,Indiana,34.1,410615.0,437808.0,848423,42186.0,72456.0,2.53,IN,Asian,29307
2358,Camden,New Jersey,27.9,36437.0,39694.0,76131,1425.0,11317.0,3.0,NJ,Asian,1686
2359,Suffolk,Virginia,38.2,43048.0,45113.0,88161,10114.0,2829.0,2.719999999999999,VA,Asian,2248
2360,Chula Vista,California,34.6,131485.0,134269.0,265754,12368.0,82710.0,3.32,CA,Black or African-American,15641
2361,Nashua,New Hampshire,38.3,42926.0,45049.0,87975,5532.0,12693.0,2.46,NH,White,73977
2362,Salt Lake City,Utah,32.1,98364.0,94296.0,192660,6829.0,32166.0,2.38,UT,Hispanic or Latino,40559
2363,Odessa,Texas,31.2,61119.0,57861.0,118980,5509.0,15845.0,2.92,TX,Hispanic or Latino,63586
2364,Waukegan,Illinois,32.3,45514.0,42833.0,88347,3404.0,30997.0,2.92,IL,Hispanic or Latino,54214
2365,Redondo Beach,California,43.0,34855.0,33330.0,68185,3014.0,13536.0,2.34,CA,Asian,13118
2366,Bay,Texas,32.9,37977.0,37508.0,75485,3478.0,13192.0,2.59,TX,White,48797
2367,Garland,Texas,34.5,116406.0,120430.0,236836,10407.0,62975.0,3.12,TX,White,154484
2368,Jacksonville,Florida,35.7,419203.0,448828.0,868031,75432.0,85650.0,2.62,FL,American Indian and Alaska Native,8177
2369,Fort Lauderdale,Florida,42.8,93948.0,84639.0,178587,8897.0,47582.0,2.38,FL,American Indian and Alaska Native,1366
2370,Cicero,Illinois,28.5,43153.0,40714.0,83867,629.0,33801.0,3.89,IL,Hispanic or Latino,76425
2371,Carmichael,California,41.0,29281.0,33934.0,63215,4225.0,7378.0,2.39,CA,Hispanic or Latino,9291
2372,Savannah,Georgia,30.3,69389.0,76295.0,145684,9717.0,10355.0,2.5700000000000003,GA,Asian,5366
2373,Glendale,Arizona,34.4,116795.0,123319.0,240114,13241.0,44133.0,2.89,AZ,American Indian and Alaska Native,4064
2374,Union City,California,38.5,38599.0,35911.0,74510,1440.0,32752.0,3.46,CA,Asian,44849
2375,Guaynabo,Puerto Rico,42.2,33066.0,37426.0,70492,,,,PR,American Indian and Alaska Native,589
2376,Milpitas,California,36.8,40098.0,37519.0,77617,1608.0,39436.0,3.32,CA,Black or African-American,2914
2377,Kansas City,Kansas,33.4,74606.0,76655.0,151261,8139.0,25507.0,2.71,KS,American Indian and Alaska Native,2749
2378,Davenport,Iowa,35.2,50123.0,52454.0,102577,7090.0,4065.0,2.39,IA,American Indian and Alaska Native,901
2379,Bolingbrook,Illinois,33.7,36295.0,35801.0,72096,2951.0,15212.0,3.42,IL,American Indian and Alaska Native,323
2380,Roswell,Georgia,38.8,48637.0,45859.0,94496,3325.0,16501.0,2.7,GA,Asian,7240
2381,Huntsville,Alabama,38.1,91764.0,97350.0,189114,16637.0,12691.0,2.18,AL,American Indian and Alaska Native,1755
2382,Livonia,Michigan,47.4,45369.0,49264.0,94633,5397.0,7175.0,2.52,MI,White,87383
2383,Fort Worth,Texas,32.6,414126.0,422843.0,836969,39182.0,143404.0,2.88,TX,White,575180
2384,Tracy,California,35.5,43156.0,43937.0,87093,3025.0,25410.0,3.42,CA,American Indian and Alaska Native,2120
2385,Nashville,Tennessee,34.1,314231.0,340365.0,654596,27942.0,88193.0,2.39,TN,White,432447
2386,Union City,New Jersey,35.4,35376.0,33773.0,69149,705.0,40553.0,2.85,NJ,Asian,4044
2387,Independence,Missouri,38.6,54348.0,62907.0,117255,10220.0,4911.0,2.33,MO,White,98940
2388,Colorado Springs,Colorado,34.8,225544.0,231018.0,456562,49291.0,35320.0,2.48,CO,Asian,22619
2389,Camarillo,California,40.8,31941.0,35682.0,67623,4384.0,9735.0,2.77,CA,White,59702
2390,Kendall,Florida,40.2,36658.0,39808.0,76466,1678.0,31180.0,2.81,FL,White,70266
2391,Parma,Ohio,40.8,38425.0,41518.0,79943,5028.0,6909.0,2.42,OH,Asian,974
2392,Shawnee,Kansas,40.1,32313.0,32745.0,65058,3575.0,4136.0,2.64,KS,Black or African-American,7296
2393,Bk,California,37.0,50405.0,54909.0,105314,4048.0,32435.0,2.52,CA,White,79582
2394,Yonkers,New York,38.0,96580.0,104538.0,201118,4801.0,61247.0,2.8,NY,Black or African-American,38731
2395,San Tan Valley,Arizona,31.3,40429.0,42368.0,82797,4300.0,5757.0,3.44,AZ,American Indian and Alaska Native,3941
2396,Alafaya,Florida,33.5,39504.0,45760.0,85264,4176.0,15842.0,2.94,FL,Asian,10336
2397,Saint Paul,Minnesota,31.5,149547.0,151293.0,300840,10548.0,56514.0,2.58,MN,Hispanic or Latino,27307
2398,Boston,Massachusetts,31.8,322149.0,347320.0,669469,18350.0,190123.0,2.38,MA,White,378543
2399,Dearborn,Michigan,33.5,46482.0,48698.0,95180,3163.0,23920.0,3.04,MI,Black or African-American,3699
2400,Lawrence,Massachusetts,30.8,37464.0,42776.0,80240,1190.0,29170.0,3.17,MA,Black or African-American,9221
2401,Nampa,Idaho,31.4,45651.0,44199.0,89850,4736.0,6607.0,2.98,ID,White,80776
2402,Vista,California,29.3,50680.0,50204.0,100884,4957.0,23271.0,3.52,CA,Hispanic or Latino,49524
2403,Cary,North Carolina,39.9,78932.0,81582.0,160514,7426.0,30008.0,2.61,NC,Black or African-American,15496
2404,Palm Bay,Florida,40.7,51767.0,56128.0,107895,10942.0,12070.0,2.8200000000000003,FL,Hispanic or Latino,16841
2405,Portsmouth,Virginia,33.6,45900.0,50301.0,96201,10261.0,1815.0,2.54,VA,White,43004
2406,Lawton,Oklahoma,31.1,51099.0,45560.0,96659,11572.0,6123.0,2.719999999999999,OK,Hispanic or Latino,13780
