Column1;City;State;Median Age;Male Population;Female Population;Total Population;Foreign-born;Average Household Size;State Code;CO;NO2;O3;SO2;PM2.5;PM10
300;Rockville;Maryland;381;312050;357930;66998;250470;26;MD;33712;2605;5436;301;898;999
301;Roswell;Georgia;388;486370;458590;94496;165010;27;GA;22697;201;6867;112;296;355
302;Knoxville;Tennessee;331;899780;953340;185312;102850;221;TN;2470;454;5579;203;426;442
303;San Marcos;California;354;452460;476880;92934;215580;313;CA;22364;416;7081;3;25;482
304;Vallejo;California;378;583790;628900;121269;305920;283;CA;22364;135;10157;67;634;992
305;San Francisco;California;383;4397520;4250640;864816;2971990;237;CA;23031;139;8798;101;532;1263
306;Muncie;Indiana;274;324460;372550;69701;10620;235;IN;22697;407;6151;127;18;20
309;Las Cruces;New Mexico;327;478350;538090;101644;118880;258;NM;21029;114;1030;67;1033;3198
311;Sioux City;Iowa;343;388270;439490;82776;74710;2,57E+16;IA;20695;167;7582;69;243;40
313;Ellicott City;Maryland;424;344060;365260;70932;175870;273;MD;38719;3564;2754;295;893;1206
317;Fontana;California;295;1006440;1068280;207472;614480;415;CA;42725;120;27752;1288;6202;6752
319;Waukegan;Illinois;323;455140;428330;88347;309970;292;IL;26703;1628;4792;62;257;37
320;Eugene;Oregon;334;790710;843770;163448;145030;234;OR;2470;608;3862;139;336;413
321;Hollywood;Florida;414;753580;743630;149721;551580;265;FL;2470;634;10729;215;633;735
324;Walnut Creek;California;476;319940;369120;68906;136240;222;CA;2470;823;9298;453;661;1151
326;San Mateo;California;393;509660;525580;103524;349570;264;CA;22697;257;8655;106;53;1151
327;Killeen;Texas;292;694420;713670;140809;157690;2,72E+15;TX;25034;544;7081;51;467;879
329;Mount Vernon;New York;385;318760;367450;68621;237770;285;NY;22697;364;7224;45;173;185
331;Akron;Ohio;381;968860;1006670;197553;100240;224;OH;33379;1868;177;128;42;571
336;Flagstaff;Arizona;239;332240;370930;70317;42620;255;AZ;16856;36;8726;17;39;64
338;Davenport;Iowa;352;501230;524540;102577;40650;239;IA;2470;848;5221;22;252;284
340;Wichita;Kansas;346;1923540;1976010;389955;402700;256;KS;2203;48;751;4;243;362
341;South Bend;Indiana;324;504830;532740;103757;87790;2,72E+15;IN;21195;30;658;68;135;16
342;Livonia;Michigan;474;453690;492640;94633;71750;252;MI;28372;951;3362;84;316;365
343;Bloomington;Minnesota;409;433180;431180;86436;107280;23;MN;21696;283;6938;65;124;142
347;Beaumont;Texas;316;573260;607840;118110;105160;247;TX;2470;291;12589;124;1008;1189
348;Phoenix;Arizona;338;7868330;7761680;1563001;3007020;289;AZ;25034;763;1502;334;1192;2026
351;Torrance;California;412;732090;752590;148468;430960;27;CA;32044;1679;1502;417;1664;2105
354;Loveland;Colorado;376;370420;381460;75188;30500;253;CO;23031;72;9584;146;443;512
355;Buena Park;California;357;415930;416710;83264;284300;355;CA;51403;5209;19455;2098;3815;4568
357;McKinney;Texas;356;773390;855480;162887;257600;291;TX;28038;1611;3684;22;24;396
358;Temecula;California;342;544070;576190;112026;188840;334;CA;30041;36;19169;483;2664;2994
361;New Bedford;Massachusetts;386;437930;511660;94959;190240;239;MA;24033;428;6509;94;351;636
362;Toledo;Ohio;361;1354550;1443230;279778;92570;229;OH;20862;83;8011;34;254;408
364;Avondale;Arizona;291;387120;419710;80683;83550;318;AZ;20695;133;12875;104;781;156
365;Brooklyn Park;Minnesota;351;378450;413050;79150;174900;285;MN;27704;1234;6008;133;485;587
367;Inglewood;California;349;529950;586610;111656;341710;312;CA;32044;1679;1502;417;1664;2105
370;Chicago;Illinois;342;13200150;14005410;2720556;5734630;253;IL;40722;5072;1484;221;551;772
371;Boca Raton;Florida;473;447600;484660;93226;211170;222;FL;23699;865;7582;52;60;971
373;Overland Park;Kansas;382;933550;931560;186511;214070;241;KS;29373;1851;6294;459;589;692
374;Oshkosh;Wisconsin;330;329050;336520;66557;23480;23;WI;26703;1457;2468;27;127;164
376;Fort Myers;Florida;373;368500;371650;74015;153650;245;FL;2203;146;9871;31;461;707
379;Pasadena;California;376;677120;745340;142246;407790;263;CA;34714;2228;17023;894;2468;2908
381;Indio;California;359;438030;437230;87526;225380;308;CA;22697;139;12732;82;899;1152
382;Farmington Hills;Michigan;421;375270;438050;81332;180330;241;MI;27704;66;3719;58;31;336
383;Baldwin Park;California;358;387470;383090;77056;343220;413;CA;48733;2913;31757;1836;6391;7223
384;Bellevue;Washington;374;707630;690510;139814;546540;243;WA;29373;1285;4113;31;428;61
385;Gary;Indiana;381;358760;414780;77354;18840;235;IN;26703;1868;608;387;295;461
386;Dayton;Ohio;328;666310;739660;140597;73810;226;OH;23699;583;5078;81;174;194
387;Laguna Niguel;California;458;301930;356190;65812;125710;258;CA;26703;754;13304;355;1263;1877
389;Syracuse;New York;303;694620;746900;144152;177330;239;NY;23365;201;1030;2241;5842;20262
391;Indianapolis;Indiana;341;4106150;4378080;848423;724560;253;IN;24033;84;6723;148;255;305
392;San Jose;California;365;5183170;5086020;1026919;4014930;313;CA;3171;1251;15307;453;2279;2794
393;Topeka;Kansas;371;608790;663780;127257;67110;232;KS;2203;583;515;227;193;293
394;Arvada;Colorado;410;548700;601650;115035;49210;249;CO;32377;2194;9584;28;973;1122
395;Chula Vista;California;346;1314850;1342690;265754;827100;332;CA;25702;497;14162;313;181;241
396;Omaha;Nebraska;342;2187890;2250980;443887;482630;247;NE;2470;805;6938;61;334;511
397;Lexington-Fayette  county;Kentucky;344;1540320;1604560;314488;286130;234;KY;23031;347;658;215;234;25
398;Yakima;Washington;340;451470;485530;93700;157170;274;WA;24033;458;5937;18;328;376
399;Wichita Falls;Texas;340;557750;489340;104709;98550;241;TX;30708;1611;5364;31;596;76
