,City,State,Median Age,Male Population,Female Population,Total Population,Foreign-born,Average Household Size,State Code,CO,NO2,O3,SO2,PM2.5,PM10
185,Redlands,California,36.2,33993.0,37035.0,71028,8681.0,2.8200000000000003,CA,397.21,9.85,263.21,9.54,56.02,63.19
186,Anchorage,Alaska,32.2,152945.0,145750.0,298695,33258.0,2.77,AK,260.35,0.16,60.8,0.02,0.5,1.09
187,Missoula,Montana,34.7,35002.0,36022.0,71024,2771.0,2.15,MT,223.64,4.71,45.78,0.08,5.47,9.5
188,Mobile,Alabama,38.0,91275.0,103030.0,194305,7234.0,2.4,AL,230.31,2.91,83.69,0.97,4.22,5.18
190,Newton,Massachusetts,42.3,41985.0,46824.0,88809,21692.0,2.71,MA,293.73,18.85,41.49,2.41,3.92,7.74
191,Baton Rouge,Louisiana,31.2,111492.0,117104.0,228596,12268.0,2.52,LA,270.37,11.14,75.1,2.24,7.11,8.38
192,Cincinnati,Ohio,32.7,143654.0,154883.0,298537,16896.0,2.08,OH,257.02,10.97,49.35,3.87,2.66,2.95
193,Longview,Texas,36.8,40065.0,41525.0,81590,8782.0,2.55,TX,247.0,5.57,107.29,6.68,9.17,12.35
194,Santa Rosa,California,37.9,86840.0,88149.0,174989,33015.0,2.7,CA,226.97,1.71,111.58,0.54,9.93,12.69
195,Fairfield,California,34.7,55550.0,57422.0,112972,24503.0,3.14,CA,223.64,1.35,113.01,0.39,9.41,12.46
196,Centennial,Colorado,42.4,53222.0,56504.0,109726,9501.0,2.66,CO,380.52,40.1,85.12,7.03,8.41,9.96
197,Fremont,California,38.3,114383.0,117808.0,232191,109427.0,3.12,CA,263.69,10.37,108.72,3.46,10.16,15.43
198,New Braunfels,Texas,37.0,33071.0,36852.0,69923,5405.0,2.85,TX,230.31,4.88,74.39,0.31,2.54,4.53
199,Elk Grove,California,36.1,80057.0,86833.0,166890,38693.0,3.34,CA,257.02,6.26,150.2,2.12,15.58,17.84
200,Norfolk,Virginia,30.2,128917.0,117476.0,246393,16702.0,2.51,VA,403.88,39.07,33.26,1.89,8.4,10.9
201,Pompano Beach,Florida,42.5,56569.0,51202.0,107771,32733.0,2.55,FL,236.99,8.65,75.82,0.52,6.0,9.71
202,Redondo Beach,California,43.0,34855.0,33330.0,68185,13536.0,2.34,CA,320.44,16.79,150.2,4.17,16.64,21.05
203,Jackson,Mississippi,31.7,79039.0,91772.0,170811,1789.0,2.65,MS,230.31,4.46,90.84,1.59,4.41,5.73
204,Saint Petersburg,Florida,41.8,123524.0,133564.0,257088,28567.0,2.42,FL,323.77,18.85,43.99,20.27,1.16,1.94
205,Casas Adobes,Arizona,44.8,30890.0,34375.0,65265,7024.0,2.24,AZ,203.61,1.15,118.73,0.69,6.27,16.14
206,Gilbert,Arizona,33.2,116711.0,130812.0,247523,24531.0,3.2,AZ,226.97,5.66,141.62,2.65,8.67,16.56
207,Fargo,North Dakota,30.7,60560.0,58690.0,119250,9428.0,2.18,ND,223.64,1.78,70.1,0.51,2.38,3.19
208,Kansas City,Missouri,35.9,228430.0,246931.0,475361,37787.0,2.35,MO,417.23,40.44,35.41,5.31,7.95,9.84
209,Berkeley,California,32.5,60142.0,60829.0,120971,25000.0,2.35,CA,247.0,5.01,88.69,2.09,5.07,10.53
210,Santa Clara,California,35.2,63278.0,62938.0,126216,52281.0,2.75,CA,317.1,12.51,153.07,4.53,22.79,27.94
211,Kansas City,Kansas,33.4,74606.0,76655.0,151261,25507.0,2.71,KS,417.23,40.44,35.41,5.31,7.95,9.84
212,Maple Grove,Minnesota,38.6,31780.0,36601.0,68381,7645.0,2.64,MN,236.99,4.28,68.67,0.68,3.72,4.46
213,Lynchburg,Virginia,28.7,38614.0,41198.0,79812,4364.0,2.48,VA,253.68,3.38,46.49,0.74,5.22,5.39
216,Yonkers,New York,38.0,96580.0,104538.0,201118,61247.0,2.8,NY,373.84,50.04,30.4,6.97,5.55,8.57
218,Toms River,New Jersey,43.7,43864.0,43886.0,87750,6852.0,2.71,NJ,223.64,4.63,89.41,0.61,1.68,2.14
220,Cambridge,Massachusetts,31.5,55421.0,54981.0,110402,27757.0,2.06,MA,247.0,21.25,2.75,1.73,3.03,3.58
221,Spring Valley,Nevada,37.0,96808.0,97147.0,193955,61072.0,2.79,NV,350.48,23.31,86.55,1.25,6.64,9.15
222,Wilmington,Delaware,36.4,32680.0,39277.0,71957,3336.0,2.45,DE,267.03,13.37,60.8,2.44,2.69,3.53
223,Edinburg,Texas,29.3,39422.0,45079.0,84501,16569.0,3.31,TX,240.33,1.86,64.37,0.72,2.19,3.05
225,Glendale,California,42.1,98181.0,102844.0,201025,111510.0,2.69,CA,247.0,6.34,107.29,2.15,6.33,7.35
226,Abilene,Texas,31.3,65212.0,60664.0,125876,8129.0,2.64,TX,213.62,3.0,70.1,0.38,4.01,6.99
228,Bismarck,North Dakota,38.0,34675.0,35565.0,70240,2064.0,2.11,ND,216.96,2.79,72.96,3.7,1.04,1.33
229,Lawton,Oklahoma,31.1,51099.0,45560.0,96659,6123.0,2.719999999999999,OK,283.72,6.17,72.24,0.33,6.17,7.12
230,Rockford,Illinois,36.3,71076.0,78270.0,149346,18323.0,2.52,IL,236.99,6.68,31.47,0.02,1.19,1.74
233,Redding,California,38.8,42530.0,49049.0,91579,5181.0,2.42,CA,206.95,1.74,111.58,0.25,4.74,7.01
235,Johnson City,Tennessee,38.2,31019.0,34350.0,65369,2878.0,2.18,TN,240.33,3.64,41.49,0.75,2.32,2.41
